Row,Sample.ID,CSS,Farm,Field,Country,Particles.map,Particles.Map.ha,Weight.map,Kg.ha.weight.map,Particles.Mip,Area.Mip,Near.house,Near.road,Near.fields,Fence,Forest,Landfill,Industry,Crop.2022,Crop.2021,Crop.2020,Crop.2019,Crop.2018,CropDominant3,CropDominant4,Plastic,Org.fertilizer,Coating,Pesticide,Animal.manure,Compost,Cow.manure,Green.manure,Compost.manure,Chicken.manure,Orther.fert,Mulch,Irrig.pipe,Rope,Transplant.trays,Sprinkler,Tunnel,Net,Biodegradable,Perception,PH,Clay.per,Sand.per,Silt.per,OM.content,Size.m2,Slope,Road.speed,Road.distance.m,Fence.type,Forest.distance.m,Landfill.distance.m,Industry.distance
1,CSS01.01.1,1,1,1,Slovenia,1.5,15000,495.7,1.24,4,197136,yes,yes,yes,yes,yes,no,yes,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,other_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,small-medium,6.15,24.8,15.3,59.9,9.85,600,0,road_more_80,500,greenhouse,130,na,500
2,CSS01.01.2,1,1,2,Slovenia,1,10000,63.12,0.16,0,0,no,yes,no,yes,yes,no,yes,other_vegetable,greenhouse_vegetable,greenhouse_vegetable,arable_crops,na,mixed,mixed,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,small-medium,6.4,19.25,10.25,70.5,4.4,1800,0,road_more_80,500,electric_fence,130,na,500
3,CSS01.02.1,1,2,1,Slovenia,0.75,7500,74.9,0.19,3,78854.4,no,yes,yes,no,yes,no,yes,other_vegetable,other_vegetable,other_vegetable,arable_crops,na,other_vegetable,mixed,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,medium,7.1,18.6,21.55,59.85,4.95,4400,0,road_80,0,no,1000,na,2000
4,CSS01.02.2,1,2,2,Slovenia,0.5,5000,625.1,1.56,9,205021.44,yes,yes,yes,no,yes,no,yes,other_vegetable,other_vegetable,greenhouse_vegetable,na,na,mixed,mixed,no,yes,no,yes,yes,no,yes,no,no,no,no,na,na,na,na,na,na,na,no,medium,7.1,26,29.25,44.8,5.2,3500,0,road_more_80,170,no,400,na,1100
5,CSS01.03.1,1,3,1,Slovenia,3.75,37500,5949.3,14.87,4,55198.08,no,yes,yes,no,yes,no,yes,other_vegetable,fallow,fallow,other_vegetable,fallow,fallow,mixed,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,small,7.25,24.4,28.8,46.8,5,5700,0,road_50,30,no,500,na,1500
6,CSS01.03.2,1,3,2,Slovenia,0.75,7500,4500,11.25,0,0,yes,yes,yes,no,yes,no,yes,fallow,other_vegetable,fallow,other_vegetable,fallow,fallow,mixed,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,small,7.45,14.05,32.1,53.85,3.3,9600,0,road_less_50,50,no,700,na,na
7,CSS01.04.1,1,4,1,Slovenia,3.5,35000,1242.2,3.11,3,654491.52,no,yes,yes,no,yes,yes,yes,other_vegetable,greenhouse_vegetable,other_vegetable,na,na,mixed,mixed,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,large,7.2,25.25,17.45,57.3,3.35,40000,0,road_80,0,no,700,1200,1200
8,CSS01.04.2,1,4,2,Slovenia,0,0,0,0,2,15770.88,no,yes,yes,no,yes,yes,yes,arable_crops,arable_crops,na,na,na,na,mixed,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,large,5.7,42.05,5.45,52.5,4.2,4000,0,road_80,400,no,700,1400,1400
9,CSS01.05.1,1,5,1,Slovenia,8,80000,3348.9,8.37,3,23656.32,no,yes,yes,yes,yes,no,yes,arable_crops,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,medium,6.8,19.75,24.35,55.9,4.7,1600,0,dirtroad,0,greenhouse,1200,na,1000
10,CSS01.05.2,1,5,2,Slovenia,4.5,45000,4075.9,10.19,0,0,no,yes,yes,no,yes,no,yes,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,medium,7.15,15.85,20.95,63.2,5.6,1800,0,dirtroad,0,no,1200,na,1000
11,CSS01.06.1,1,6,1,Slovenia,3.5,35000,1999.4,5,31,2518083.84,no,no,yes,yes,yes,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,na,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,medium-large,6.95,22.8,13.75,63.45,3.35,1000,0,no,,greenhouse,500,na,na
12,CSS01.06.2,1,6,2,Slovenia,8.5,85000,5076.5,12.69,0,0,no,no,yes,no,yes,no,no,greenhouse_vegetable,arable_crops,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,medium-large,6.75,22.15,12.4,65.45,2.4,1400,0,no,,no,500,na,na
13,CSS01.07.1,1,7,1,Slovenia,0,0,0,0,10,662376.96,no,yes,yes,no,yes,no,no,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,arable_crops,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,small ,7.3,17.5,27,55.5,4.3,20000,3,road_80,0,no,300,na,na
14,CSS01.07.2,1,7,2,Slovenia,2,20000,1421.4,3.55,5,118281.6,no,yes,yes,no,yes,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,small ,6.05,19.45,1.9,78.65,2.3,90000,0,road_80,500,no,400,na,na
15,CSS01.08.1,1,8,1,Slovenia,1.25,12500,157.5,0.39,0,0,no,yes,yes,no,yes,no,no,other_vegetable,greenhouse_vegetable,other_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,medium-large,5.7,27.15,0.15,72.7,2.15,1800,0,dirtroad,0,no,0,na,na
16,CSS01.08.2,1,8,2,Slovenia,14,140000,4327.4,10.82,8,370615.68,no,yes,yes,no,yes,no,no,other_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,other_vegetable,greenhouse_vegetable,mixed,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,medium-large,6.4,18.75,2.5,78.75,2.5,2400,0,road_80,0,no,300,na,na
17,CSS01.09.1,1,9,1,Slovenia,1.5,15000,610,1.53,5,118281.6,yes,yes,yes,yes,yes,no,no,greenhouse_vegetable,arable_crops,other_vegetable,arable_crops,arable_crops,arable_crops,mixed,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no,large,6.85,31.4,2.15,66.45,5,500,0,road_50,50,tunnel,1600,na,na
18,CSS01.09.2,1,9,2,Slovenia,4,40000,1520.9,3.8,8,126167.04,yes,yes,yes,no,yes,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,large,7,32.85,1.15,66,5.8,500,0,road_50,50,no,1600,na,na
19,CSS01.10.1,1,10,1,Slovenia,7.25,72500,1827.8,4.57,10,488897.28,yes,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,medium,6.8,19.65,29.4,50.95,3.55,8000,0,dirtroad,0,tunnel,no,na,na
