,X,IRFile_name,Tile_Numbers
1,1,m1_bcm_n1,812
2,2,m1_bsl_n1,812
3,3,m1_bsl_n2,870
4,4,m1_bsl_n3,870
5,5,m1_bsl_s1,812
6,6,m1_bsl_s2,841
7,7,m1_bsl_s3,756
8,8,m1_bsl_s3_single particles,0
9,9,simple64.exe,0
10,10,UserDefault.usd,0
11,11,m10_451_s2,702
12,12,m10_5101_n,702
13,13,m10_5101_n_incomplete,540
14,14,m10_5102_n,756
15,15,m10_552_n,756
16,16,m10_561_n,729
17,17,m10_562_n,702
18,18,m10_571_n,675
19,19,m10_581_n,702
20,20,m10_582_n,702
21,21,m10_591_n,676
22,22,m10_592_n,676
23,23,m10_bcm_n,650
24,24,m10_rs5_n,600
25,25,m10_st_n,625
26,26,m11_451_r,702
27,27,m11_451_s2,756
28,28,m11_611_n,729
29,29,m11_612_n,702
30,30,m11_621_n,676
31,31,m11_622_n,675
32,32,m11_631_n,676
33,33,m11_632_n,702
34,34,m11_641_n,702
35,35,m11_651_n,702
36,36,m11_652_n,676
37,37,m11_661_n,676
38,38,m11_bcm_n,729
39,39,m11_rs6_n,756
40,40,m11_st_n,729
41,41,m12_6102_n,729
42,42,m12_6112_n,729
43,43,m12_662_n,702
44,44,m12_671_n,784
45,45,m12_672_n,702
46,46,m12_681_n,756
47,47,m12_682_n,756
48,48,m12_691_n,784
49,49,m12_692_n,729
50,50,m12_711_n,756
51,51,m12_711_r,756
52,52,m12_711_s2,756
53,53,m12_bcm_n,702
54,54,m12_st_n,756
55,55,m13_711_r,702
56,56,m13_711_s2,676
57,57,m13_712_n,729
58,58,m13_721_n,702
59,59,m13_722_n,702
60,60,m13_731_n,729
61,61,m13_732_n,702
62,62,m13_741_n,676
63,63,m13_751_n,702
64,64,m13_752_n,728
65,65,m13_761_n_ir2,756
66,66,m13_762_n,702
67,67,m13_bcm_n,650
68,68,m13_rs7_n,675
69,69,m13_st_n,702
70,70,m14_7101_n,754
71,71,m14_7102_n,675
72,72,m14_711_r,552
73,73,m14_711_s2,756
74,74,m14_781_n,728
75,75,m14_782_n,676
76,76,m14_791_n,754
77,77,m14_792_n,552
78,78,m14_811_n,672
79,79,m14_812_n,729
80,80,m14_821_n,729
81,81,m14_822_n,729
82,82,m14_bcm_n,625
83,83,m14_st_n,702
84,84,m15_711_r,729
85,85,m15_711_s2,784
86,86,m15_831_n,729
87,87,m15_832_n,729
88,88,m15_841_n,729
89,89,m15_842_n,729
90,90,m15_851_n,756
91,91,m15_852_n,729
92,92,m15_861_n,729
93,93,m15_862_n,729
94,94,m15_871_n,729
95,95,m15_871_n_ir2,756
96,96,m15_872_n,676
97,97,m15_881_n,702
98,98,m15_bcm_n,729
99,99,m15_rs8_n,729
100,100,m15_st_n,729
101,101,m16_711_r,729
102,102,m16_711_s2,756
103,103,m16_8101_n,756
104,104,m16_8102_n,812
105,105,m16_882_n,729
106,106,m16_891_n_ir2,729
107,107,m16_892_n,702
108,108,m16_921_n,650
109,109,m16_922_n,729
110,110,m16_931_n,702
111,111,m16_932_n,728
112,112,m16_941_n,756
113,113,m16_bcm_n,552
114,114,m16_st_n,729
115,115,m17_942_n_ir2,729
116,116,m17_951_n,729
117,117,m17_952_n,756
118,118,m17_961_n,702
119,119,m17_961_n_ir2,729
120,120,m17_962_n,784
121,121,m17_971_n,729
122,122,m17_972_n,784
123,123,m17_981_n,702
124,124,m17_982_n,702
125,125,m17_991_n,728
126,126,m17_992_n,756
127,127,m17_992_r,676
128,128,m17_992_s2,729
129,129,m17_bcm_n,676
130,130,m17_rs9_n,756
131,131,m17_st_n,729
132,132,m18_1011_n,729
133,133,m18_1012_n,702
134,134,m18_1021_n,729
135,135,m18_1022_n,676
136,136,m18_1031_n,729
137,137,m18_1032_n,729
138,138,m18_1041_n,702
139,139,m18_1042_n,702
140,140,m18_9101_n,702
141,141,m18_9102_n,729
142,142,m18_9111_n,729
143,143,m18_9112_n,729
144,144,m18_992_r,729
145,145,m18_bcm_n,625
146,146,m18_st_n,702
147,147,m19_10101_n,675
148,148,m19_1051_n,729
149,149,m19_1052_n,702
150,150,m19_1061_n,729
151,151,m19_1062_n,702
152,152,m19_1071_n,729
153,153,m19_1072_n_ir2,784
154,154,m19_1081_n,729
155,155,m19_1082_n,702
156,156,m19_1091_n,702
157,157,m19_1092_n,676
158,158,m19_992_r,841
159,159,m19_992_s2,756
160,160,m19_bcm_n,528
161,161,m19_st_n,702
162,162,2x_m2_161_r,2
163,163,2x_m2_161_r2,2
164,164,m2_1_n_RS1,900
165,165,m2_111_n,812
166,166,m2_112_n,841
167,167,m2_121_n,900
168,168,m2_121_n2,841
169,169,m2_122_n,870
170,170,m2_131_n,900
171,171,m2_132_n,841
172,172,m2_141_n,870
173,173,m2_142_n,900
174,174,m2_151_n,841
175,175,m2_152_n,841
176,176,m2_161_n,585
177,177,m2_161_n_ir2,702
178,178,m2_161_r,0
179,179,m2_161_r2,812
180,180,m2_161_s,812
181,181,m2_bcm_n,812
182,182,m2_pfsr_n,900
183,183,method_2022.12.20.txt,0
184,184,method_2023.01.05.txt,0
185,185,m20_10102_n,729
186,186,m20_1111_n,729
187,187,m20_1112_n,729
188,188,m20_1121_n,729
189,189,m20_1122_n,702
190,190,m20_1132_n,702
191,191,m20_1141_n,729
192,192,m20_1141_n_ir2,729
193,193,m20_1142_n,729
194,194,m20_1151_n,729
195,195,m20_1152_n,729
196,196,m20_992_s2,729
197,197,m20_st_n,676
198,198,m21_11111_n,729
199,199,m21_11112_n,729
200,200,m21_1161_n,729
201,201,m21_1162_n,784
202,202,m21_1171_n,729
203,203,m21_1172_n,702
204,204,m21_1181_n,729
205,205,m21_1182_n,729
206,206,m21_1191_n,756
207,207,m21_1192_n,729
208,208,m21_992_r,702
209,209,m21_992_s2,756
210,210,m21_bcm_n,676
211,211,m21_st_n,729
212,212,m22_2121_n,676
213,213,m22_2122_n,676
214,214,m22_2123_n,729
215,215,m22_2124_n,702
216,216,m22_4122_n,702
217,217,m22_451_r,756
218,218,m22_451_s2,756
219,219,m22_462_n,756
220,220,m22_521_n,676
221,221,m22_542_n,702
222,222,m22_572_n,728
223,223,m22_6101_n,729
224,224,m22_6111_n,729
225,225,m22_742_n,729
226,226,m22_bcm_n,625
227,227,m22_st_n,729
228,228,m23_1131_n,756
229,229,m23_451_s2,784
230,230,m23_642_n,729
231,231,m23_992_r,729
232,232,m23_bcm_n,729
233,233,m23_rs11_n,729
234,234,m23_st_n,702
235,235,m24_451_r,756
236,236,m24_451_r_ir2,729
237,237,m24_451_s2,729
238,238,m24_831_n,729
239,239,m24_831_n_ir2,702
240,240,m24_851_n,729
241,241,m24_852_n,728
242,242,m24_861_n,756
243,243,m24_862_n,729
244,244,m24_871_n,702
245,245,m24_872_n,702
246,246,m24_881_n,756
247,247,m24_bcm_n,650
248,248,m24_rs8_n,729
249,249,m24_st_n,702
250,250,m25_771_n,702
251,251,m25_771_n_ir2,676
252,252,m25_772_n,676
253,253,m25_992_r,729
254,254,m25_992_s2,676
255,255,m25_bcm_n,624
256,256,m25_st_n,702
257,257,m26_341_n,729
258,258,m26_362_n,729
259,259,m26_372_n,784
260,260,m26_381_n,729
261,261,m26_391_n,676
262,262,m26_451_s,756
263,263,m26_451_s2,756
264,264,m26_992_r,702
265,265,m26_bcm_n,676
266,266,m26_rs3_n,676
267,267,m26_st_n,702
268,268,m27_11101_n_f1,676
269,269,m27_11101_n_f2,676
270,270,m27_11101_n_f3,729
271,271,m27_11101_n_f4,729
272,272,m27_11101_n_f5,702
273,273,m27_11101_n_f6,728
274,274,m27_11102_n_f1,650
275,275,m27_11102_n_f2,729
276,276,m27_11102_n_f3,729
277,277,m27_11102_n_f3_ir2,729
